e_id,s_id,c_id,instructor_id,enrollment_date,marks_scored,grade,attendance_percentage,payment_status,tuition_amount
1085,25,106,209,3/10/2024,96,A,98.9,Paid,4120.25
1086,26,111,214,4/25/2024,82,B,89.2,Paid,3220
1087,27,104,207,3/15/2024,90,A,94.8,Paid,3720.5
1088,28,109,212,4/30/2024,76,C,85.9,Pending,2950.75
1089,29,114,217,3/20/2024,87,B,92.1,Paid,3520.25
1090,30,102,203,5/5/2024,94,A,97.6,Paid,3980
1091,31,107,210,3/25/2024,80,B,88.1,Paid,3150.5
1092,32,112,215,5/10/2024,92,A,95.4,Paid,3820.75
1093,33,105,208,3/30/2024,85,B,90.7,Paid,3380.25
1094,34,110,213,5/15/2024,97,A,99.3,Paid,4180
1095,35,115,218,4/5/2024,79,C,86.8,Pending,3080.5
1096,36,108,211,5/20/2024,91,A,95.2,Paid,3780.75
1097,37,113,216,4/10/2024,84,B,89.9,Paid,3320.25
1098,38,106,209,5/25/2024,93,A,96.7,Paid,3920
1099,39,111,214,4/15/2024,77,C,86.2,Pending,3020.5
1100,40,104,207,5/30/2024,88,B,92.9,Paid,3580.75
